Sequence,scientific_name,Family1,Order1,Avibase.ID1,Total.individuals,Female,Male,Unknown,Complete.measures,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,Secondary1,Hand-Wing.Index,Tail.Length,Mass,Mass.Source,Mass.Refs.Other,Inference,Traits.inferred,Reference.species,Habitat,Habitat.Density,Migration,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Min.Latitude,Max.Latitude,Centroid.Latitude,Centroid.Longitude,Range.Size
9214.0,cyanecula svecica,Muscicapidae,Passeriformes,AVIBASE-AFD6FD81,14,8,6,0,4,15.1,8.9,3.2,3.2,26.3,73.1,15.6,57.5,21.3,50.0,17.23,Dunning,,NO,,,Grassland,2,3.0,Carnivore,Invertivore,Generalist,31.76,71.22,58.14,79.97,19896158.85
9143.0,cyornis hoevelli,Muscicapidae,Passeriformes,AVIBASE-64C5A03E,4,2,2,0,4,17.8,10.7,6.0,4.7,19.4,86.4,19.0,67.3,21.9,65.8,20.5,Inferred,,YES,Body Mass,Niltava sumatrana,Forest,1,1.0,Carnivore,Invertivore,Insessorial,-3.87,-0.89,-2.3,120.08,17280.87
9142.0,cyornis hyacinthinus,Muscicapidae,Passeriformes,AVIBASE-DB232D5C,5,2,3,0,4,15.5,8.8,4.8,4.2,19.7,87.4,16.4,70.1,18.9,66.8,25.8,Updated_literature,Dunning (2021),NO,,,Forest,2,1.0,Carnivore,Invertivore,Insessorial,-10.94,-7.56,-9.19,125.12,32681.54
9114.0,cyornis oscillans,Muscicapidae,Passeriformes,AVIBASE-B69E7CB5,1,0,1,0,1,14.1,9.0,4.9,3.8,16.1,76.0,10.8,65.2,14.2,56.0,23.93,EltonTraits_Model,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Insessorial,-9.04,-8.12,-8.63,119.53,13365.86
9144.0,cyornis sanfordi,Muscicapidae,Passeriformes,AVIBASE-A89B82E6,2,0,2,0,2,16.7,9.9,5.3,4.2,17.5,83.2,14.9,68.4,17.9,65.2,20.5,Inferred,,YES,Body Mass,Niltava sumatrana,Forest,1,1.0,Carnivore,Invertivore,Insessorial,0.08,1.5,0.68,123.77,2049.13
9115.0,cyornis stresemanni,Muscicapidae,Passeriformes,AVIBASE-B136588C,0,0,0,0,0,14.1,9.0,4.9,3.8,16.1,76.0,10.8,65.2,14.2,56.0,23.93,EltonTraits_Model,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Cyornis oscillans,Forest,1,1.0,Carnivore,Invertivore,Insessorial,-10.16,-9.48,-9.79,119.98,3270.52
9106.0,eumyias ruficrissa,Muscicapidae,Passeriformes,AVIBASE-A41FD92D,0,0,0,0,0,12.6,6.7,4.0,3.0,18.2,70.8,13.5,57.3,19.0,58.2,23.14,EltonTraits_Model,,YES,Beak Culmen; Beak Nares; Beak Width; Beak Depth; Tarsus Length; Wing Length; Kipp's Distance; Secondary1; Hand-Wing Index; Tail Length,Eumyias indigo,Forest,1,1.0,Carnivore,Invertivore,Insessorial,-5.58,6.29,1.29,106.23,218383.0
9213.0,hodgsonius phaenicuroides,Muscicapidae,Passeriformes,AVIBASE-789DEC69,5,2,3,0,4,16.9,9.6,3.3,3.5,29.2,71.0,15.9,55.1,22.4,78.6,21.1,Dunning,,NO,,,Forest,2,2.0,Omnivore,Invertivore,Generalist,22.71,42.8,31.13,97.6,1490026.61
9050.0,kittacincla albiventris,Muscicapidae,Passeriformes,AVIBASE-D5038426,4,2,2,0,4,19.2,11.4,4.1,4.7,25.7,87.2,14.7,72.6,16.7,107.0,29.23,DataFromSplit,,NO,,,Forest,1,1.0,Carnivore,Invertivore,Insessorial,10.51,13.57,12.3,92.77,5202.95
9052.0,kittacincla cebuensis,Muscicapidae,Passeriformes,AVIBASE-93B8CF8F,2,1,1,0,2,17.8,11.6,4.0,5.1,25.5,88.3,13.4,74.9,15.1,88.2,28.5,Inferred,,YES,Body Mass,Kittacincla nigra,Forest,1,1.0,Carnivore,Invertivore,Generalist,9.41,11.28,10.31,123.72,4442.73
