avibase_id,mass_BB,elevation_min_BB,elevation_range_BB,elevation_max_BB,habitat_BB,primary_diet_BB,nest_type_BB,flightless_BB,trophic_niche_BB
AVIBASE-B0B3DA78,94.5,450.0,1750.0,2200.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-8E267A26,171.5,0.0,1600.0,1600.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-99F75999,135.16667,920.0,2680.0,3600.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-99F75999,,600.0,1500.0,2100.0,Forest,Carnivore,,No,Invertivore
AVIBASE-BEEAC3EE,,600.0,1200.0,1800.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-8BAD426A,172.0,100.0,300.0,400.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-A183D8C2,,,,,Forest,Carnivore,,No,Invertivore
AVIBASE-72343F64,53.5,1450.0,50.0,1500.0,Forest,Carnivore,,No,Invertivore
AVIBASE-E1D48C52,65.5,400.0,300.0,700.0,Forest,Carnivore,,No,Invertivore
AVIBASE-6F0AC682,93.0,0.0,1700.0,1700.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-485394E0,,0.0,500.0,500.0,Forest,Carnivore,,No,Invertivore
AVIBASE-34226B9D,114.0,700.0,350.0,1050.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-10891EF5,,580.0,920.0,1500.0,Forest,Carnivore,,No,Invertivore
AVIBASE-6DF9DA47,,1500.0,0.0,1500.0,Forest,Carnivore,,No,Invertivore
AVIBASE-E7163B81,75.16667,0.0,2500.0,2500.0,Grassland,Carnivore,CP,No,Invertivore
AVIBASE-AC0C3921,62.0,750.0,1650.0,2400.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-CB1E8753,71.0,0.0,610.0,610.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-DB5CE93A,47.5,0.0,1700.0,1700.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-60A39CF9,63.83333,0.0,1530.0,1530.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-098F2468,70.0,300.0,1900.0,2200.0,Forest,Carnivore,CP,No,Invertivore
AVIBASE-4745E8A7,72.5,500.0,1800.0,2300.0,Forest,Carnivore,,No,Invertivore
AVIBASE-C54DCA26,54.0,1310.0,2290.0,3600.0,Forest,Omnivore,CP,No,Omnivore
