avibase_id,species_latin_key,species_english,species_birdlife,species_ioc,species_ebird,species_avilist,order,family_ioc,family_clements,family_birdlife,family_avilist,genus
AVIBASE-0254B25D,Graminicola striatus,Chinese Grass-babbler,Graminicola striatus,Graminicola striatus,Graminicola striatus,Graminicola striatus,Passeriformes,Pellorneidae,Pellorneidae,Pellorneidae,Pellorneidae,Graminicola
AVIBASE-0269AE28,Hypotaenidia woodfordi,Guadalcanal Rail,Hypotaenidia woodfordi,Hypotaenidia woodfordi,Gallirallus woodfordi,Gallirallus woodfordi,Gruiformes,Rallidae,Rallidae,Rallidae,Rallidae,Hypotaenidia
AVIBASE-026B8797,Sporophila hypochroma,Rufous-rumped Seedeater,Sporophila hypochroma,Sporophila hypochroma,Sporophila hypochroma,Sporophila hypochroma,Passeriformes,Thraupidae,Thraupidae,Thraupidae,Thraupidae,Sporophila
AVIBASE-027CD8FC,Pipreola pulchra,Masked Fruiteater,Pipreola pulchra,Pipreola pulchra,Pipreola pulchra,Pipreola pulchra,Passeriformes,Cotingidae,Cotingidae,Cotingidae,Cotingidae,Pipreola
AVIBASE-0283EBE3,Semnornis ramphastinus,Toucan Barbet,Semnornis ramphastinus,Semnornis ramphastinus,Semnornis ramphastinus,Semnornis ramphastinus,Piciformes,Semnornithidae,Semnornithidae,Semnornithidae,Semnornithidae,Semnornis
AVIBASE-02884D9E,Coenocorypha aucklandica,Auckland Snipe,Coenocorypha aucklandica,Coenocorypha aucklandica,Coenocorypha aucklandica,Coenocorypha aucklandica,Charadriiformes,Scolopacidae,Scolopacidae,Scolopacidae,Scolopacidae,Coenocorypha
AVIBASE-028FCD4B,Eclectus polychloros,Papuan Eclectus,Eclectus polychloros,Eclectus polychloros,Eclectus polychloros,Eclectus polychloros,Psittaciformes,Psittaculidae,Psittaculidae,Psittacidae,Psittaculidae,Eclectus
AVIBASE-029491CD,Leucosticte tephrocotis,Grey-crowned Rosy-Finch,Leucosticte tephrocotis,Leucosticte tephrocotis,Leucosticte tephrocotis,Leucosticte tephrocotis,Passeriformes,Fringillidae,Fringillidae,Fringillidae,Fringillidae,Leucosticte
AVIBASE-02A59CEE,Pseudasthenes steinbachi,Steinbach's Canastero,Pseudasthenes steinbachi,Pseudasthenes steinbachi,Pseudasthenes steinbachi,Pseudasthenes steinbachi,Passeriformes,Furnariidae,Furnariidae,Furnariidae,Furnariidae,Pseudasthenes
AVIBASE-02B06535,Anthobaphes violacea,Orange-breasted Sunbird,Anthobaphes violacea,Anthobaphes violacea,Anthobaphes violacea,Anthobaphes violacea,Passeriformes,Nectariniidae,Nectariniidae,Nectariniidae,Nectariniidae,Anthobaphes
