eBird species code 2019,Com_name,Sci_name,Subspecies,Illustration_id,Credit,Sex,Age,Morph,Order,Family,Group,color1,color2,color3,color4,color5,color6,color7,color8,color9,color10,color11,color12,color13,color14,color15,color16,color17,color18,color19,color20,color21,color22,color23,color24
solhao1,Solomons Boobook,Ninox jacquinoti,nominate,151476931,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.057,0.006,0.005,0.028,0,0.017,0.008,0.008,0.016,0.029,0.017,0,0.009,0.113,0.013,0.129,0.078,0.002,0.01,0,0.347,0,0.007,0.101
solhao1,Solomons Boobook,Ninox jacquinoti,mono,151476941,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.04,0.015,0.003,0.022,0,0.015,0.034,0.01,0.013,0.021,0.023,0.002,0.019,0.114,0.01,0.137,0.061,0.008,0.007,0,0.348,0.001,0.008,0.089
solhao1,Solomons Boobook,Ninox jacquinoti,granti,151476951,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.047,0.022,0.007,0.039,0,0.003,0.013,0.021,0.005,0.013,0.014,0.001,0.018,0.089,0.03,0.13,0.058,0.022,0.003,0,0.335,0,0.019,0.111
solhao1,Solomons Boobook,Ninox jacquinoti,malaitae,151476961,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.052,0.004,0.007,0.021,0,0.008,0.01,0.01,0,0.005,0.003,0,0.007,0.109,0.009,0.16,0.066,0.006,0.008,0,0.403,0,0.007,0.105
solhao1,Solomons Boobook,Ninox jacquinoti,roseoaxillaris,151476971,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.198,0.004,0,0.153,0,0.008,0.005,0.002,0.001,0.018,0.011,0,0.007,0.126,0.035,0.281,0.007,0,0.039,0,0.054,0,0,0.051
solhao1,Solomons Boobook,Ninox jacquinoti,eichhorni,153003261,Francesc Jutglar,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.051,0.025,0.003,0.027,0,0.023,0.017,0.011,0.012,0.007,0.023,0.001,0.013,0.085,0.013,0.224,0.035,0.012,0.002,0,0.325,0,0.017,0.074
norboo1,Northern Boobook,Ninox japonica,nominate,151476601,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.096,0.014,0.019,0.042,0,0.002,0.017,0.017,0.011,0.003,0.002,0.004,0.02,0.121,0.017,0.192,0.018,0.014,0.001,0,0.165,0.001,0.022,0.202
camboo1,Camiguin Boobook,Ninox leventisi,nominate,151476671,Hilary Burn,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.218,0.029,0.078,0.152,0,0.008,0.022,0.044,0,0.001,0.03,0,0.024,0.071,0.104,0.073,0.004,0.083,0,0,0.004,0,0.027,0.028
manhao1,Manus Boobook,Ninox meeki,nominate,151476861,Norman Arlott,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.111,0.01,0.003,0.064,0,0.019,0.025,0.006,0.003,0.009,0.019,0.001,0.006,0.135,0.032,0.33,0.011,0.008,0.019,0,0.095,0,0.004,0.09
minboo2,Mindoro Boobook,Ninox mindorensis,nominate,151476721,Ian Willis,Monomorphic,Not specified,None,Strigiformes,Strigidae ,Owls,0.091,0.004,0.016,0.043,0,0.008,0.01,0.012,0.003,0.009,0.02,0,0.009,0.161,0.017,0.173,0.05,0.02,0.005,0,0.198,0.001,0.011,0.139
